X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11
2253,327,29,42,20,1401,137,194,189,849,0
2303,51,12,297,32,840,226,214,120,592,0
2604,343,10,541,43,680,200,225,163,792,0
2164,40,16,0,0,1179,220,204,114,752,1
1974,125,22,85,21,124,250,219,86,390,0
2196,277,35,95,56,930,106,221,242,424,0
2538,190,16,309,48,876,218,251,161,1015,0
2469,219,23,60,12,1148,188,254,194,644,0
2045,17,31,120,80,180,179,160,102,134,0
2129,353,21,309,126,351,179,198,154,573,0
2187,72,37,319,148,722,232,142,8,778,0
2518,209,6,30,2,1128,215,246,167,1689,0
2145,232,8,339,87,433,207,248,178,679,0
2426,16,11,30,1,577,211,217,142,1689,0
2396,108,26,60,20,551,253,200,58,1302,0
2535,22,30,300,76,1430,188,163,97,511,0
2228,134,26,124,70,1442,250,218,80,850,1
2067,181,27,30,12,876,217,244,142,335,1
2685,212,20,295,78,2136,198,254,185,2508,0
2174,305,23,201,122,242,151,221,207,907,0
2340,99,21,404,159,1116,249,206,75,1262,1
2059,129,26,240,99,277,252,213,71,466,0
2383,27,19,277,74,1401,209,197,119,335,0
2260,96,28,192,76,1045,251,187,44,1260,1
2014,126,32,297,111,297,253,200,49,840,0
2386,11,11,376,161,511,208,217,145,1818,0
2448,358,16,324,121,1537,192,208,151,390,0
2200,306,14,30,4,834,179,231,192,1468,0
2490,198,12,108,0,1065,216,250,167,942,0
2463,124,7,566,193,900,233,235,135,1072,0
2363,94,4,30,0,516,225,234,144,1337,0
2294,107,19,90,31,1082,249,213,85,902,0
2305,74,17,30,6,404,238,206,93,787,0
2036,332,29,42,26,108,139,189,182,433,0
2465,44,14,124,22,242,222,210,119,1852,0
2568,191,5,0,0,1592,220,244,160,1224,0
2159,76,16,150,25,1342,239,207,94,335,0
2353,341,13,216,44,1376,192,220,166,417,0
2240,223,29,190,146,350,170,252,204,576,0
2194,12,23,150,62,983,190,187,127,1600,0
2688,148,9,95,10,2063,232,240,139,1732,0
2264,292,19,30,11,365,162,232,209,698,0
2151,322,29,150,78,1466,135,197,196,759,0
2575,225,10,402,76,2457,206,250,180,566,0
2079,136,27,42,21,644,250,216,75,865,0
2149,112,36,150,81,524,253,177,18,150,1
2459,102,23,134,16,832,251,204,69,752,0
2461,295,22,150,47,268,152,228,213,830,0
2293,308,29,90,48,1426,128,207,212,780,0
2529,228,19,120,21,1084,188,254,198,1450,0
2622,59,6,390,18,1948,224,228,139,684,0
2315,320,30,295,123,1284,130,197,199,379,0
2409,51,16,85,1,1519,226,203,106,474,0
2605,159,11,272,66,1392,231,242,141,1873,0
2405,82,23,391,131,390,244,193,66,969,0
2397,266,17,150,59,1325,175,245,208,819,0
2305,344,31,228,13,1113,144,176,160,1131,0
2541,145,21,216,57,849,244,231,106,859,0
2387,159,8,108,13,631,229,242,145,964,0
2473,305,15,190,38,514,178,231,193,1738,0
2589,344,12,324,28,474,195,220,164,834,0
2622,202,16,331,83,1477,211,253,172,1961,0
2436,138,19,30,4,882,246,229,103,1245,0
2249,123,22,67,24,516,251,217,82,1784,1
2651,114,15,633,-17,636,244,224,105,1358,0
2289,190,21,277,108,1182,215,251,160,1148,1
2247,350,39,240,122,1036,124,147,141,1200,0
2042,119,37,319,137,324,253,180,19,812,0
1972,74,38,30,24,60,234,142,0,162,0
2313,350,26,335,188,1025,164,186,154,1269,0
2056,11,22,30,4,937,190,189,130,541,0
2627,207,11,404,16,1657,213,250,171,1842,0
2419,90,8,180,81,1150,232,228,129,882,0
2434,245,9,323,128,1075,202,247,183,1366,0
2317,342,18,30,4,108,179,210,167,42,0
2409,300,24,240,34,277,146,222,213,577,0
2266,314,16,283,131,577,174,225,190,376,0
2506,314,27,402,103,1061,139,208,204,914,0
2580,189,9,234,87,976,221,247,160,759,0
2449,101,13,30,11,443,242,222,108,1805,0
2121,42,11,175,87,335,222,215,127,534,0
2051,4,23,153,56,210,183,189,137,240,0
2465,348,12,153,22,258,197,220,161,1902,0
2290,25,25,95,46,1253,199,177,104,541,0
2216,29,42,170,69,648,168,114,48,495,0
2353,129,20,90,12,180,248,224,94,684,0
2775,160,9,258,45,2396,230,242,144,2239,0
2226,336,36,277,139,480,117,166,173,433,0
2501,137,17,60,0,1101,244,232,111,1484,0
2324,61,21,247,117,323,232,191,82,1489,0
2396,19,16,362,208,942,206,203,131,1194,0
2575,121,18,150,51,1558,248,223,96,1478,0
2585,133,37,67,9,1436,249,195,39,342,0
2013,339,24,30,10,90,162,199,171,618,0
2308,264,17,270,46,216,176,246,207,390,0
2164,298,19,150,107,1124,163,230,205,391,0
2652,180,26,190,67,1824,220,245,142,2804,0
2277,324,17,201,120,497,175,220,184,1510,0
2171,21,35,30,15,1248,175,146,86,997,0
2327,113,20,95,40,1415,250,215,85,837,0
2044,133,8,30,0,858,233,236,135,573,1
1868,27,16,67,17,95,212,204,125,859,0
2741,97,24,283,108,2389,251,197,60,2250,0
2381,61,28,361,72,1471,229,169,54,256,0
2472,87,27,270,126,488,247,186,50,960,0
2722,171,24,301,138,1695,228,242,132,1176,0
2249,309,34,216,90,1148,112,197,215,750,0
2397,287,14,30,9,1110,180,239,198,1024,0
2420,331,10,120,36,1054,197,228,170,984,0
2211,334,37,153,86,912,115,167,176,485,0
2685,114,13,390,22,785,242,226,111,418,0
2477,279,25,228,34,390,144,234,225,1871,0
2214,335,31,162,108,1110,138,183,176,1124,0
2455,181,34,277,58,240,210,238,133,875,0
2449,311,5,210,17,942,206,236,169,1195,0
2562,155,17,134,28,1165,238,239,125,1813,0
2401,16,16,30,3,470,204,204,133,1320,1
2638,331,11,510,110,711,195,227,171,960,0
2224,351,22,153,63,658,175,196,155,663,0
2244,6,27,150,104,1153,175,175,127,1537,0
2253,329,19,170,90,579,170,213,181,1570,0
1956,48,24,30,14,180,221,182,83,582,0
2011,58,9,0,0,382,227,222,129,446,1
2597,225,11,162,77,1103,206,250,181,648,0
2225,303,34,124,135,295,107,200,222,566,0
2142,343,42,150,70,997,104,142,154,589,0
2342,77,18,514,261,1458,240,205,89,1012,1
2598,219,14,323,-10,1749,204,252,183,1956,0
2154,295,9,30,2,1233,195,238,182,569,0
2139,324,19,0,0,1237,170,217,185,577,0
2590,150,13,331,86,853,236,239,130,1448,0
2219,303,28,85,42,552,133,214,216,1337,0
2198,349,34,127,55,1064,138,163,149,706,0
2455,117,27,228,71,671,254,205,60,1318,0
2698,105,11,342,92,2362,238,227,118,902,0
2419,318,18,295,84,30,171,221,189,488,0
2181,335,25,85,30,1442,156,198,176,819,0
2540,17,26,0,0,1521,189,175,113,582,0
2219,12,23,201,98,1024,190,187,127,1262,0
2276,42,19,0,0,1475,219,194,103,600,1
2206,288,28,417,128,467,129,224,228,390,0
2466,96,21,0,0,1082,248,205,76,1442,0
2184,285,34,342,178,408,107,216,238,362,0
2460,36,14,424,218,892,218,207,122,981,0
2520,23,22,108,39,1574,202,189,116,418,0
2241,21,37,361,190,552,170,138,81,342,0
2430,343,6,85,2,537,207,230,162,1742,0
2451,205,10,67,8,582,215,249,169,738,0
1975,86,39,60,34,85,243,147,0,350,0
2712,197,24,134,90,2218,205,252,169,560,0
2216,57,13,0,0,1140,228,212,115,469,1
2299,320,39,162,87,1332,94,171,200,1024,0
2131,288,30,170,93,594,122,220,231,518,0
2146,34,29,30,3,1199,202,163,80,1430,0
2399,119,10,228,71,366,237,232,125,741,0
2645,163,20,124,66,1756,234,241,129,1207,0
2453,140,17,577,183,858,243,233,113,1053,0
2449,84,18,42,6,1209,242,207,88,1048,0
2655,84,16,67,6,2188,241,212,97,2539,0
2272,299,32,127,34,743,116,209,225,595,0
2413,133,23,162,72,400,249,221,86,875,0
2300,30,32,212,139,759,193,154,78,443,0
2464,61,6,272,13,891,225,228,137,1068,0
2686,167,25,242,131,2525,231,239,124,1087,0
2453,177,13,85,25,837,226,247,151,942,0
2398,55,18,335,153,1195,229,199,97,1209,0
2340,344,17,0,0,437,183,211,164,830,0
2508,116,8,234,53,255,235,232,129,457,0
2126,260,34,120,42,1233,121,235,240,492,0
2678,191,15,42,9,1149,218,250,162,618,0
2579,221,10,417,43,2486,207,250,178,592,0
2447,336,14,0,0,1790,188,220,171,277,0
2307,115,29,212,119,1566,254,197,47,95,0
2529,163,16,408,155,674,233,243,135,892,0
2370,148,9,0,0,513,233,239,138,888,0
2421,44,15,283,31,1082,222,207,116,900,0
2085,67,29,150,53,589,234,168,46,703,0
2657,59,6,319,45,1106,224,228,139,888,0
2654,104,15,120,28,2282,245,219,99,2477,0
2809,185,25,313,143,2117,215,247,150,2147,0
2272,51,3,382,193,481,221,232,148,553,0
2023,345,27,0,0,552,158,187,161,510,1
2444,50,27,201,38,1337,220,170,68,644,0
2499,285,3,595,109,850,212,239,165,408,0
2477,52,23,0,0,924,225,183,80,920,0
2421,179,23,210,51,1170,222,246,144,1616,0
2453,229,22,67,17,573,182,254,202,636,0
2211,5,35,330,200,450,154,150,115,300,0
2285,110,20,192,50,255,250,213,81,799,0
2278,118,28,95,37,426,254,202,55,1867,1
2201,293,30,366,186,433,122,217,228,351,0
2040,228,36,60,44,150,144,245,216,283,0
2383,239,10,30,-2,661,202,249,184,1008,0
2455,9,29,170,52,1215,175,170,121,834,0
1922,100,19,90,42,95,248,211,84,836,0
2664,163,22,67,18,2205,234,240,126,2522,0
2472,89,23,175,29,847,247,196,65,713,0
2453,63,9,60,10,309,228,222,127,1913,0
2307,142,16,30,6,1290,242,234,116,882,1
2350,297,34,150,70,457,108,207,229,1765,0
2515,322,15,362,72,180,180,223,183,1899,0
2115,239,30,301,117,470,152,248,222,661,0
2157,288,28,268,150,335,132,225,227,457,0
2327,236,34,459,185,849,142,245,223,902,0
2337,120,35,162,96,319,253,188,30,1842,1
2364,73,17,175,-10,451,237,205,93,618,0
2016,338,16,42,11,85,183,215,170,752,0
2082,60,29,67,40,335,228,167,52,755,0
2501,227,38,150,80,1130,141,243,215,1312,0
2622,37,12,390,-17,849,219,214,128,792,0
2301,322,23,30,17,1289,156,210,191,972,0
2188,95,15,366,169,524,243,217,99,371,0
2277,335,20,67,22,752,171,209,175,497,0
2192,22,38,134,89,999,169,134,76,664,0
2629,34,11,570,118,631,219,216,132,953,0
2681,149,22,180,74,1961,242,233,108,2682,0
2078,49,29,95,49,256,218,166,64,408,1
2691,137,22,277,106,1932,248,225,93,2706,0
2534,25,29,228,53,1475,192,165,94,484,0
2453,96,11,300,91,268,238,224,115,470,0
2145,250,21,192,64,361,169,249,214,841,0
2574,193,25,283,154,1583,209,250,163,721,0
2736,175,19,351,6,2306,227,246,143,2330,0
2411,84,17,379,21,912,242,209,92,907,0
2390,144,14,277,63,335,239,236,123,797,0
2191,100,13,30,8,162,241,222,110,342,0
2416,290,18,60,22,365,167,235,207,872,0
2596,211,23,335,176,1584,195,254,185,771,0
2730,116,14,361,151,1624,243,226,108,1092,0
2415,125,23,127,55,840,251,216,80,1153,0
2183,339,40,85,60,420,109,153,163,524,0
2175,271,20,30,9,1020,163,242,217,474,0
2126,2,36,30,15,618,146,147,120,417,0
2370,288,7,242,80,811,201,240,178,474,0
2488,197,28,42,18,1537,201,250,167,518,0
2560,195,20,362,74,830,212,252,166,1050,0
2195,189,3,30,-16,1515,219,241,158,892,1
2224,343,28,108,35,973,154,186,164,1350,0
2311,2,14,446,128,1332,200,213,149,1075,0
2367,69,10,42,0,600,231,221,122,834,0
2413,188,32,95,57,342,205,243,149,1061,0
2265,54,29,371,67,810,223,167,58,836,0
2685,208,17,300,51,2362,207,253,177,2317,0
2297,161,14,404,22,932,233,242,136,595,0
2647,253,9,391,119,832,201,246,184,1040,0
2371,337,13,503,246,859,190,221,170,1448,0
2800,177,20,379,172,3048,226,247,145,1475,0
2271,353,28,90,53,323,161,179,147,1148,0
2426,68,9,313,36,875,230,221,124,876,0
2568,229,31,330,142,2096,159,250,213,255,0
2409,82,12,376,164,1153,237,219,111,1167,0
2610,144,14,85,10,1464,239,236,123,371,0
2584,225,3,90,6,825,216,242,163,1388,0
2216,145,6,0,0,1110,228,239,144,404,1
2449,244,7,120,19,859,206,246,178,1381,0
2025,316,20,0,0,573,163,219,194,459,1
2398,82,12,295,66,330,237,219,111,497,0
2368,349,24,180,70,319,168,192,157,365,0
2484,226,27,30,9,1499,171,253,207,1128,0
2395,158,17,120,25,1080,236,240,128,1613,0
2721,72,13,256,82,2553,235,214,109,1024,0
2063,349,10,0,0,955,202,224,160,216,1
2190,270,20,228,52,661,165,243,215,1595,0
2679,237,8,108,24,1852,206,247,178,1772,0
2321,321,25,180,83,731,147,205,194,618,0
2227,18,33,319,150,391,175,151,94,616,0
2495,33,11,67,12,240,218,216,133,1657,1
2462,174,26,228,78,242,225,243,134,878,0
2522,202,19,170,55,2165,208,253,174,376,0
2581,135,7,150,-10,1872,231,237,139,1892,0
2427,113,29,210,90,361,254,198,50,841,0
2444,78,8,0,0,379,231,226,128,1295,1
2425,288,26,323,-9,571,137,227,225,1731,0
2607,64,12,150,5,1559,231,215,114,1071,0
2473,238,14,150,32,492,193,251,194,644,0
2228,352,18,300,144,1207,186,206,157,600,0
2039,40,28,120,84,150,210,168,77,124,0
2109,316,22,0,0,626,157,216,196,592,0
2195,47,8,0,0,811,223,223,135,391,1
2108,274,33,60,31,1448,116,227,240,819,0
2383,339,18,60,13,836,178,211,170,395,0
2067,11,37,67,50,134,156,140,99,616,0
2347,18,25,150,53,999,192,179,114,671,0
2193,218,8,0,0,162,211,248,173,323,0
2109,293,34,153,56,443,109,211,232,591,0
2398,11,21,324,8,1106,192,192,130,1032,0
2180,330,24,285,19,564,156,203,182,553,0
2752,152,22,488,118,2524,241,234,111,2132,0
2241,46,30,339,90,481,213,160,62,1668,0
2527,39,12,297,99,1084,220,213,126,1092,0
2469,218,25,190,43,1958,184,254,195,95,0
2508,106,17,212,4,1100,247,216,92,1020,0
2355,100,11,384,162,966,238,225,116,1399,1
2127,87,10,0,0,1298,235,224,119,421,1
2242,120,33,108,54,1670,254,193,38,67,0
2116,12,14,150,89,323,205,210,140,511,0
2738,206,14,360,27,2163,210,252,174,2471,0
2380,297,16,537,183,752,175,234,199,1533,0
2363,93,29,42,17,446,250,183,41,858,0
2377,305,29,258,97,582,127,209,216,1772,0
2516,77,18,175,47,993,240,204,88,765,0
2430,236,31,85,43,510,151,248,221,497,0
1994,28,18,153,62,150,210,198,118,216,0
2608,228,6,430,137,518,211,246,172,474,0
2420,288,16,124,33,360,173,237,203,799,0
2066,311,24,95,62,134,148,215,204,685,0
2415,291,8,180,64,480,197,239,181,797,0
2445,168,9,30,2,624,228,244,148,765,0
2398,316,24,182,71,192,151,213,198,474,0
2253,285,22,228,100,1110,153,233,218,700,0
2522,15,29,270,63,1465,181,166,108,480,0
2573,138,23,390,137,390,247,225,94,408,0
2327,326,32,201,115,1358,124,186,191,947,0
2522,164,10,150,-5,1087,230,243,145,1463,0
2215,275,30,120,49,930,128,231,235,446,0
2239,1,20,323,104,1200,187,199,145,642,0
2497,336,23,618,284,976,164,203,175,324,0
1978,330,25,124,53,170,154,202,183,511,0
2446,260,22,216,29,120,162,246,219,361,0
2442,45,5,301,99,674,221,229,144,646,0
1953,92,35,30,18,60,248,162,0,376,0
2021,333,17,60,18,108,179,216,175,726,0
2575,168,18,150,36,1260,232,244,136,1890,0
2797,103,21,417,164,2389,250,208,76,2131,0
2541,66,20,255,78,1024,235,196,85,1559,0
2563,224,24,150,51,983,180,254,201,1584,0
2401,347,22,192,90,297,174,200,161,192,0
2337,95,13,30,8,1388,240,220,108,295,0
2364,113,29,60,27,323,254,198,50,764,0
2526,99,28,240,36,1015,252,189,44,872,0
2246,343,27,60,35,1307,155,188,165,660,0
2452,52,26,150,-5,849,223,176,71,853,0
2489,204,28,170,80,1396,192,251,178,845,0
2267,111,15,30,5,1262,244,223,104,618,1
2404,290,16,182,66,1358,172,236,203,780,0
2431,176,19,488,88,700,226,247,145,859,0
2374,52,16,85,-5,658,227,205,107,792,0
2317,1,21,391,110,180,184,194,143,1557,0
2274,357,16,30,8,924,192,209,152,391,0
2044,128,34,67,35,330,252,197,43,365,0
2279,252,22,30,9,540,167,249,216,1719,0
2453,341,24,457,253,1127,162,196,169,721,0
2381,324,24,150,75,277,154,208,190,190,0
2573,262,24,390,-26,819,153,244,225,1148,0
2350,161,19,240,63,1084,235,241,128,1053,0
2461,103,27,240,11,750,253,195,53,516,0
2284,269,28,391,146,722,139,237,232,1507,0
2318,32,10,371,94,751,218,218,134,175,0
2342,83,13,30,6,201,238,217,108,830,0
2369,75,20,309,62,977,240,199,81,953,0
2320,85,5,150,45,240,228,231,137,1566,0
2529,168,12,295,71,882,230,245,145,973,0
2367,316,24,90,50,420,151,213,198,743,0
2408,216,19,60,15,564,197,254,188,992,0
2474,191,27,85,54,1528,208,248,158,607,0
2384,333,10,0,0,551,198,228,169,1383,1
2298,106,17,182,36,150,247,216,92,228,0
2485,34,12,228,53,630,218,213,129,1380,0
2123,309,28,85,46,570,132,208,211,277,0
2584,291,19,365,-15,875,162,233,209,1103,0
2397,194,32,60,37,488,197,246,161,1209,0
2381,66,18,192,64,313,235,201,91,618,0
2412,120,19,162,54,127,249,221,92,576,0
2333,282,21,190,63,953,156,236,217,255,0
2074,335,33,268,184,272,129,177,176,30,0
2611,88,17,510,80,1095,243,209,89,845,0
2258,17,36,182,114,1215,167,143,91,1405,0
2215,330,30,150,65,1101,135,189,185,768,0
2445,93,20,67,3,1860,247,206,80,295,0
2118,62,6,0,0,1115,225,228,138,458,1
2373,37,14,0,0,458,219,207,121,953,0
2782,135,11,270,18,864,237,236,128,636,0
2581,194,19,283,74,2040,214,252,165,1795,0
2554,99,6,598,73,983,230,232,136,1248,0
2168,326,34,30,18,1355,120,182,190,1201,0
2145,26,26,85,24,450,198,175,101,787,0
2084,162,25,60,20,624,235,237,117,886,0
2106,331,35,108,66,150,118,173,182,845,0
2371,274,24,350,46,210,150,238,224,778,0
2862,103,23,638,229,2535,251,205,70,1890,0
2195,134,21,42,11,1061,248,225,94,1230,1
2622,30,9,454,111,690,218,220,138,959,0
2412,183,10,272,68,979,223,247,156,1477,0
2761,139,14,426,132,2656,240,235,121,2081,0
2123,88,25,240,179,270,248,191,58,295,0
2530,85,14,256,83,510,240,215,102,973,0
2111,303,39,228,215,256,87,188,226,175,0
2271,12,20,391,129,858,195,194,131,1053,0
2391,277,25,382,186,382,146,236,225,741,0
2234,87,30,247,172,150,247,176,36,324,0
2153,217,2,0,0,1235,217,241,161,1019,1
2561,62,12,342,-22,1165,230,215,115,1224,0
2512,134,29,242,-37,1324,251,212,67,1237,0
2258,322,33,175,100,1181,119,187,197,700,0
2667,169,5,30,1,1914,224,242,153,1742,0
2403,27,15,85,24,942,212,206,127,560,0
2385,300,18,120,47,1263,167,230,202,872,0
2327,326,35,295,177,1266,116,180,191,730,0
2099,68,34,85,47,1026,232,153,25,454,0
2284,297,17,85,9,466,171,232,201,424,0
2728,221,14,361,145,2105,202,253,185,2529,0
2373,132,14,212,86,1187,242,232,116,1027,0
2113,32,12,30,3,1230,217,213,129,1044,1
2387,51,15,330,86,450,226,207,110,459,0
2343,87,24,120,33,350,247,192,59,702,0
2292,104,12,268,134,1425,240,225,114,849,1
2577,180,1,30,0,778,219,239,157,1291,0
2516,13,25,323,138,779,188,181,122,1273,0
2287,160,31,430,151,1294,234,228,100,769,1
2188,328,9,67,4,1068,199,230,170,1237,1
2256,282,11,67,24,466,189,241,191,1812,0
2358,33,10,430,202,1284,218,218,135,626,0
2516,199,12,124,48,834,215,250,168,849,0
2419,314,16,323,153,1300,175,226,190,702,0
2184,116,9,0,0,1062,236,231,126,1231,1
2423,304,27,240,143,342,137,215,214,1748,0
2067,80,33,153,119,190,242,161,21,67,0
2074,348,18,499,107,566,183,208,161,277,0
2307,309,34,180,111,875,111,197,216,1498,0
2423,158,23,201,53,1144,237,236,116,1480,0
2184,352,23,85,28,1396,172,193,154,890,0
2267,337,35,268,124,1062,124,170,171,543,0
2116,105,23,255,87,362,251,204,67,566,0
2638,119,13,60,9,2353,242,228,113,2467,0
2107,23,22,30,6,1355,202,188,115,875,1
2564,66,5,560,11,1184,225,230,141,1450,0
2467,319,20,497,260,1047,165,218,191,722,0
2357,120,23,309,160,787,252,214,78,1548,1
2730,102,15,420,-30,1530,243,220,102,1003,0
2524,24,8,577,269,582,216,222,143,631,0
2389,323,25,361,176,967,147,204,192,124,0
2361,111,16,162,39,175,246,221,98,685,0
2452,153,15,360,44,330,237,240,130,1092,0
2611,171,12,268,97,872,228,245,147,1614,0
2276,330,8,0,0,420,201,231,169,1583,0
2089,336,30,108,73,331,139,184,175,446,0
2566,101,14,242,48,1209,243,220,103,1213,0
2243,217,31,90,43,1001,172,251,198,576,0
2513,114,16,30,-4,1195,246,222,99,1531,0
2357,85,15,30,1,433,241,212,97,742,0
2436,295,20,108,22,306,161,231,208,828,0
2185,343,45,85,48,713,95,132,150,516,0
2782,106,21,376,149,2375,250,210,79,2173,0
2511,134,21,108,51,1047,248,225,94,1442,0
2072,333,25,30,9,976,155,199,179,234,0
2297,354,18,443,208,660,188,206,154,324,0
2424,37,16,201,26,1266,218,202,116,741,0
2560,212,9,630,89,738,213,249,172,927,0
1940,47,38,30,20,67,204,133,33,335,0
2048,47,27,127,83,192,217,170,71,234,0
2715,167,4,300,109,2592,223,241,153,1136,0
2029,42,21,300,68,408,219,190,98,153,0
2852,177,13,339,81,3261,226,247,151,1624,0
2635,10,7,300,-4,934,213,226,151,787,0
2288,345,29,124,70,283,152,182,161,1158,0
2273,11,30,30,16,1581,174,165,115,990,0
2517,123,15,212,31,999,244,228,110,1087,0
2344,99,22,42,10,942,250,204,71,973,0
2681,164,15,376,73,566,233,243,137,90,0
2632,87,13,531,48,990,239,218,108,960,0
2052,304,23,60,17,470,150,221,209,524,0
2553,7,17,361,91,990,196,203,141,1598,0
2668,102,21,127,19,2252,250,207,74,2554,0
2248,311,25,85,35,890,144,213,205,242,0
2578,228,14,108,31,1298,199,252,188,1114,0
2135,343,11,0,0,1360,199,224,164,1392,1
2518,76,19,301,68,882,240,201,84,513,0
2310,293,35,108,24,1350,104,209,233,750,0
2427,198,18,120,23,830,211,253,170,1207,0
2499,84,15,85,16,420,240,214,101,1507,0
2537,344,12,466,50,957,196,222,164,1245,0
2334,80,21,297,83,361,243,197,74,850,0
2554,191,19,90,15,1176,216,251,161,1879,0
1999,120,28,180,11,212,254,204,57,573,0
2476,90,28,210,89,836,249,182,42,1266,0
2464,8,12,335,143,404,206,217,147,342,0
2455,13,21,60,5,751,194,191,128,361,0
2474,211,23,30,-6,1226,194,254,186,564,0
2137,251,26,42,15,870,153,247,225,319,0
2583,91,35,42,13,1406,248,164,0,306,0
2296,97,45,277,6,644,243,135,0,531,0
2466,135,9,30,-3,1493,235,236,132,1061,0
2243,28,27,150,53,977,198,170,94,247,0
2282,344,21,201,121,765,173,202,164,633,0
2356,345,14,30,7,390,191,217,164,892,0
1996,326,20,162,114,134,166,213,184,384,0
2615,184,13,255,11,1577,223,249,156,853,0
2288,2,28,324,102,932,170,175,133,1355,0
2630,260,20,90,44,1379,166,246,216,1392,0
2229,325,32,306,186,382,124,187,193,743,0
2287,338,29,218,-4,1142,144,185,172,1103,0
