X1,X2,X3,X4,X5,X6,X7
6.887,114,0.006,0,0,0,0
5.826,47,0.039,4.801,0,0.847,0
4.898,24,0.018,4.881,0,0.742,0
11.114,839,0.018,5.496,0,0.565,0
3.349,8,0.023,0,0,0,0
4.42,33,0.014,0,0,0,0
5.453,295,0.009,3.212,0,0.575,0
3.909,13,0.004,6.143,0,0.827,0
8.473,549,0.006,4.811,0,0.669,0
1.4,11,0.545,1.753,7.804,0.608,0
7.018,1196,0.016,4.176,0,0.53,0
8.578,1005,0.026,2.939,0,0.471,0
1.434,21,0.011,2.108,61.623,0.698,0
2.755,10,0.018,3.526,22.809,0.571,0
8.531,203,0.011,0,0,0,0
4.32,6,0.01,0,0,0,0
5.393,85,0.017,3.67,0,0.701,0
4.782,13,0.017,3.703,0,0.643,0
7.802,122,0.003,0,0,0,0
4.168,47,0.007,0,0,0,0
4.958,13,0.013,0,0,0,0
7.095,433,0.036,10.034,0,0.745,0
6.733,81,0.027,2.079,23.47,0.584,0
3.891,18,0.012,2.892,0,0.822,0
3.966,16,0.029,1.825,23.99,0.664,0
2.364,6,0.017,4.628,48.07,0.568,0
5.158,111,0.019,5.218,0,0.743,0
3.322,16,0.032,4.27,0,0.703,0
3.661,74,0.036,5.069,68.416,0.63,0
3.517,22,0.023,3.317,61.98,0.57,0
5.677,12,0.01,3.505,0,0.569,0
6.96,103,0.005,3.685,0,0.742,0
4.571,26,0.005,4.345,0,0.821,0
2.912,10,0.009,0,0,0,0
2.042,13,0.069,3.597,13.398,0.518,0
19.357,9,0,0,0,0,0
7.476,112,0.005,2.598,0,0.651,0
4.733,96,0.016,0,0,0,0
3.49,24,0.018,0,0,0,0
9.194,4,0.01,0,0,0,0
7.387,112,0.024,5.272,0,0.724,0
2.377,20,0.064,3.579,0,0.551,0
5.594,8,0.024,0,0,0,0
4.866,83,0.068,3.824,21.827,0.588,0
2.925,13,0.023,4.209,33.698,0.666,0
6.91,508,0.004,3.861,0,0.605,0
11.797,1011,0.015,6.361,24.149,0.586,0
3.934,15,0.014,4.201,0,0.847,0
5.829,55,0.025,4.709,18.203,0.871,0
9.277,1243,0.013,4.464,0,0.479,0
9.587,521,0.019,6.061,0,0.729,0
4.072,36,0.023,4.464,12.612,0.689,0
6.067,89,0.005,0,0,0,0
17.253,4,0.001,0,0,0,0
7.832,72,0.015,4.905,26.647,0.768,0
5.266,96,0.005,4.919,0,0.648,0
4.763,197,0.029,3.687,39.774,0.611,0
3.274,78,0.047,0,0,0,0
1.413,15,0.017,4.115,0,0.531,0
3.719,94,0.028,0,0,0,0
2.418,23,0.07,3.881,17.822,0.628,0
4.603,58,0.012,3.606,0,0.7,0
1.619,5,0.026,0,0,0,0
4.978,36,0.009,4.236,63.322,0.64,0
2.853,8,0.036,3.608,18.035,0.562,0
6.768,87,0.021,3.902,0,0.616,0
4.632,37,0.023,3.144,21.865,0.735,0
6.483,52,0.03,4.408,11.686,0.637,0
6.127,48,0.034,0,0,0,0
2.622,27,0.078,0,0,0,0
3.277,21,0.079,3.323,10.936,0.623,0
2.551,9,0.047,2.517,0,0.56,0
9.101,1256,0.002,0,0,0,0
3.559,20,0.033,3.497,14.162,0.658,0
3.068,8,0.021,3.289,18.096,0.555,0
4.544,5,0.008,5.317,66.351,0.776,0
7.512,216,0.025,0,0,0,0
4.88,20,0.009,0,0,0,0
2.549,5,0.017,4.385,0,0.845,0
57.535,11,0.001,0,0,0,0
6.661,103,0.007,0,0,0,0
6.13,239,0.01,4.313,0,0.676,0
11.3,358,0.015,5.814,0,0.591,0
7.216,154,0.007,4.447,0,0.709,0
10.58,276,0.007,6.181,27.733,0.692,0
8.092,189,0.012,0,0,0,0
8.686,185,0.011,4.669,0,0.684,0
2.707,8,0.062,3.763,0,0.411,0
5.744,112,0.009,3.27,0,0.5,0
15.167,4,0.001,0,0,0,0
7.2,358,0.022,0,0,0,0
3.881,75,0.009,3.176,0,0.64,0
5.896,51,0.014,0,0,0,0
5.848,84,0.008,0,0,0,0
10.262,250,0.007,3.984,35.096,0.59,0
2.83,32,0.015,2.674,0,0.619,0
2.684,35,0.186,1.872,0,0.588,0
2.119,11,0.028,4.434,31.818,0.59,0
8.12,8,0.005,0,0,0,0
2.979,12,0.01,3.502,61.043,0.767,0
4.125,36,0.034,2.548,0,0.72,0
3.348,4,0.005,7.056,0,0.457,0
5.952,4,0.008,4.002,0,0.61,0
8.308,214,0.009,0,0,0,0
9.482,811,0.006,5.025,83.41,0.532,0
15.304,22,0.008,0,0,0,0
12.045,508,0.011,3.429,45.378,0.485,0
10.79,335,0.008,0,0,0,0
4.172,302,0.004,0,0,0,0
3.845,16,0.011,0,0,0,0
5.151,100,0.013,5.338,47.154,0.717,0
7.65,172,0.009,4.655,0,0.679,0
13.162,1249,0.015,5.588,0,0.523,0
5.838,116,0.007,5.816,43.233,0.762,0
4.057,74,0.054,4.487,11.374,0.761,0
7.023,14,0.003,0,0,0,0
7.294,134,0.027,3.035,0,0.72,0
7.318,142,0.007,5.536,0,0.596,0
5.706,47,0.03,4.286,0,0.63,0
20.213,4,0.003,0,0,0,0
4.044,167,0.018,4.033,33.838,0.661,0
3.401,10,0.011,2.88,0,0.675,0
45.386,9,0.001,0,0,0,0
2.686,9,0.007,3.777,82.346,0.565,0
4.489,270,0.124,4.763,13.318,0.512,0
6.563,11,0.005,0,0,0,0
15.863,1154,0.006,5.646,0,0.345,0
5.964,71,0.016,1.825,23.99,0.525,0
3.371,30,0.012,3.07,52.763,0.653,0
17.998,943,0.004,3.263,0,0.422,0
11.11,184,0.007,5.595,0,0.627,0
9.156,389,0.026,0,0,0,0
3.475,29,0.008,0,0,0,0
18.571,6,0.001,0,0,0,0
3.726,17,0.005,3.231,95.537,0.696,0
4.948,40,0.009,4.694,36.531,0.704,0
3.711,35,0.025,3.515,42.217,0.708,0
3.487,76,0.018,1.489,66.625,0.568,0
7.2,176,0.013,4.37,0,0.7,0
3.894,15,0.006,0,0,0,0
3.335,19,0.118,3.048,15.921,0.686,0
3.467,8,0.005,3.002,0,0.542,0
6.289,156,0.005,5.195,51.486,0.679,0
2.187,4,0.071,1.753,7.804,0.701,0
6.799,73,0.011,0,0,0,0
3.167,27,0.051,3.474,14.003,0.637,0
4.237,19,0.045,3.871,26.937,0.529,0
3.449,11,0.01,3.226,0,0.521,0
1.984,5,0.015,0,0,0,0
9.74,314,0.01,3.449,32.615,0.451,0
4.427,30,0.01,4.382,35.431,0.753,0
6.725,99,0.01,2.098,21.737,0.544,0
11.5,1040,0.003,4.821,0,0.614,0
5.676,31,0.019,0,0,0,0
51.577,9,0.001,0,0,0,0
3.015,11,0.032,3.846,20.214,0.699,0
3.2,6,0.017,0,0,0,0
3.313,31,0.004,3.244,0,0.587,0
7.632,215,0.023,0,0,0,0
4.311,8,0.017,3.225,0,0.624,0
4.929,91,0.017,0,0,0,0
4.264,21,0.026,0,0,0,0
3.009,31,0.111,0,0,0,0
3.497,7,0.02,3.491,0,0.517,0
4.379,30,0.027,2.959,22.765,0.516,0
9.996,524,0.011,4.639,25.733,0.64,0
9.049,461,0.02,3.823,29.917,0.516,0
3.857,12,0.03,3.424,0,0.905,0
4.753,38,0.02,3.925,0,0.657,0
9.254,4,0.025,0,0,0,0
4.892,40,0.021,3.363,0,0.694,0
4.464,136,0.056,0,0,0,0
2.728,35,0.042,2.288,12.67,0.706,0
8.016,222,0.011,5.398,0,0.86,0
15.546,1213,0.014,6.896,0,0.512,0
9.385,622,0.021,4.294,0,0.564,0
4.081,10,0.007,0,0,0,0
4.143,119,0.01,2.856,36.338,0.739,0
10.847,879,0.013,0,0,0,0
3.951,54,0.022,5.859,0,0.681,0
3.86,15,0.019,0,0,0,0
5.193,21,0.006,3.824,66.437,0.681,0
4.337,90,0.029,4.474,25.328,0.635,0
6.533,45,0.015,7.602,0,0.681,0
7.997,246,0.006,3.418,55.16,0.705,0
3.676,22,0.035,0,0,0,0
8.219,268,0.005,0,0,0,0
2.51,7,0.013,3.056,0,0.659,0
1.329,4,0.083,3.74,36,0.51,0
5.513,50,0.007,3.558,0,0.686,0
3.464,90,0.045,4.965,24.293,0.69,0
5.729,119,0.032,6.24,0,0.65,0
6.879,208,0.023,0,0,0,0
1.646,12,0.075,4.167,18.282,0.553,0
8.132,150,0.008,5.702,0,0.847,0
12.067,4,0.002,0,0,0,0
4.81,21,0.013,4.827,31.148,0.752,0
3.55,19,0.028,2.312,14.23,0.632,0
6.574,42,0.009,0,0,0,0
5.896,117,0.012,3.936,0,0.705,0
9.097,252,0.03,6.585,0,0.685,0
3.699,19,0.01,2.593,58.137,0.663,0
4.598,40,0.035,4.607,53.899,0.674,0
8.356,102,0.023,3.58,0,0.704,0
4.536,50,0.012,3.633,0,0.705,0
10.568,300,0.018,6.545,0,0.738,0
2.685,24,0.031,3.081,31.015,0.557,0
14.816,473,0.006,2.114,45.041,0.467,0
12.356,793,0.01,0,0,0,0
2.126,6,0.032,0,0,0,0
4.656,64,0.006,3.686,0,0.763,0
2.412,4,0,0,0,0,0
7.465,129,0.022,0,0,0,0
5.019,16,0.014,3.983,0,0.613,0
2.086,11,0.03,0,0,0,0
13.908,804,0.004,5.808,0,0.489,0
3.163,8,0.014,0,0,0,0
4.115,4,0.005,0,0,0,0
2.242,19,0.07,3.391,18.171,0.528,0
11.093,370,0.011,5.143,25.251,0.634,0
4.143,21,0.013,0,0,0,0
6.676,543,0.014,3.965,34.116,0.557,0
7.103,179,0.011,3.555,44.327,0.698,0
2.48,54,0.017,2.672,0,0.603,0
5.531,104,0.017,2.781,0,0.692,0
4.587,104,0.041,2.288,0,0.612,0
2.752,33,0.044,3.362,21.901,0.741,0
3.623,4,0.01,0,0,0,0
12.219,979,0.009,0,0,0,0
12.176,484,0.01,6.303,0,0.407,0
6.808,728,0.019,0,0,0,0
26.459,4,0.002,0,0,0,0
3.652,9,0.014,0,0,0,0
9.914,498,0.004,3.877,0,0.611,0
9.141,71,0.011,3.684,18.19,0.703,0
6.787,6,0.004,0,0,0,0
3.786,13,0.006,2.558,0,0.793,0
3.445,36,0.061,2.812,17.747,0.531,0
5.145,56,0.028,0,0,0,0
8.106,782,0.026,3.201,0,0.507,0
6.543,4,0.005,0,0,0,0
4.948,120,0.035,2.331,0,0.736,0
3.704,4,0.042,0,0,0,0
5.178,120,0.029,3.198,27.885,0.74,0
6.332,82,0.01,2.742,0,0.656,0
4.249,14,0.011,3.141,0,0.602,0
2.473,8,0.023,3.371,26.244,0.673,0
4.486,15,0.009,3.49,52.647,0.772,0
5.288,17,0.006,0,0,0,0
5.399,58,0.004,0,0,0,0
9.434,370,0.005,0,0,0,0
3.38,6,0.005,0,0,0,0
2.625,19,0.041,3.674,18.4,0.676,0
4.728,9,0.012,0,0,0,0
2.79,11,0.017,3.638,0,0.739,0
7.999,401,0.007,4.416,0,0.579,0
4.802,17,0.006,5.615,0,0.824,0
8.178,735,0.004,4.878,0,0.483,0
6.543,236,0.028,4.372,0,0.703,0
4.944,397,0.012,4.166,0,0.694,0
4.216,89,0.047,3.715,0,0.784,0
5.395,42,0.024,3.304,0,0.744,0
3.228,11,0.043,4.724,0,0.613,0
7.337,19,0.02,0,0,0,0
3.732,41,0.02,3.157,0,0.753,0
8.643,405,0.018,3.824,0,0.602,0
3.887,119,0.037,4.947,32.032,0.5,0
3.857,57,0.005,0,0,0,0
2.459,4,0.038,3.143,16.933,0.613,0
7.266,29,0.032,7.595,24.448,0.738,0
6.181,161,0.024,4.904,28.726,0.582,0
3.083,12,0.021,2.91,0,0.748,0
11.352,1250,0.005,0,0,0,0
5.492,80,0.099,0,0,0,0
8.319,531,0.02,7.095,14.278,0.624,0
3.705,29,0.075,2.156,27.106,0.655,0
4.255,17,0.021,0,0,0,0
10.295,602,0.013,3.432,0,0.544,0
4.627,31,0.007,3.89,0,0.728,0
3.507,14,0.019,4.334,0,0.767,0
3.719,41,0.03,4.109,23.626,0.747,0
2.847,17,0.011,3.024,60.06,0.6,0
12.09,515,0.003,5.185,0,0.612,0
10.065,608,0.014,4.945,24.406,0.626,0
9.443,723,0.012,3.53,35.501,0.525,0
4.74,64,0.003,0,0,0,0
3.667,4,0.006,0,0,0,0
8.426,204,0.005,0,0,0,0
7.134,104,0.015,5.67,49.584,0.707,0
5.163,50,0.012,3.678,0,0.691,0
8.047,135,0.012,4.953,0,0.721,0
14.106,1180,0.002,10.786,0,0.771,0
5.155,16,0.009,5.478,0,0.838,0
3.959,165,0.055,2.919,0,0.463,0
13.156,437,0.011,5.598,0,0.662,0
5.431,54,0.013,0,0,0,0
4.62,112,0.017,4.209,33.698,0.719,0
6.842,121,0.015,3.964,0,0.664,0
5.164,4,0.009,0,0,0,0
6.805,335,0.007,3.181,0,0.533,0
7.131,107,0.025,0,0,0,0
5.905,63,0.009,0,0,0,0
8.927,87,0.008,3.672,39.727,0.584,0
6.163,228,0.052,2.053,0,0.481,0
5.587,71,0.028,0,0,0,0
9.326,115,0.012,3.369,44.327,0.762,0
6.739,400,0.037,4.793,22.86,0.61,0
4.883,42,0.013,3.902,0,0.644,0
1.576,8,0.062,2.071,0,0.79,0
6.017,140,0.015,0,0,0,0
5.547,68,0.016,3.787,54.91,0.679,0
4.596,28,0.011,0,0,0,0
4.895,56,0.006,3.86,86.221,0.664,0
12.784,972,0.012,0,0,0,0
3.338,8,0.026,3.345,19.559,0.64,0
3.976,30,0.016,0,0,0,0
2.615,4,0.017,0,0,0,0
4.059,24,0.008,2.878,0,0.599,0
4.337,61,0.008,4.807,100.657,0.697,0
3.034,5,0.023,3.738,0,0.931,0
5.852,189,0.031,2.789,0,0.735,0
14.354,4,0.004,0,0,0,0
8.568,1074,0.016,0,0,0,0
5.1,41,0.005,5.334,0,0.783,0
4.204,105,0.007,2.867,95.817,0.56,0
2.001,5,0.019,3.292,35.47,0.752,0
6.788,208,0.013,0,0,0,0
7.697,171,0.012,3.95,0,0.626,0
10.818,1245,0.009,0,0,0,0
3.705,4,0.027,2.862,0,0.616,0
4.463,37,0.005,0,0,0,0
11.027,299,0.017,3.702,0,0.797,0
6.501,314,0.018,2.895,27.659,0.543,0
5.112,105,0.017,2.625,43.383,0.716,0
3.782,27,0.074,0,0,0,0
20.292,1247,0.008,5.59,0,0.358,0
8.338,4,0.01,0,0,0,0
2.014,4,0.02,4.101,86.7,0.606,0
5.882,34,0.009,0,0,0,0
7.304,123,0.023,3.802,0,0.797,0
22.587,1112,0.009,6.687,21.968,0.507,0
4.318,4,0.01,0,0,0,0
4.519,166,0.015,2.642,27.06,0.638,0
2.613,12,0.028,0,0,0,0
2.96,74,0.101,0,0,0,0
5.231,97,0.009,3.314,0,0.529,0
3.812,16,0.008,4.323,0,0.503,0
4.963,5,0.006,4.804,0,0.645,0
2.312,4,0.018,2.509,58.738,0.659,0
5.077,55,0.013,4.746,0,0.832,0
11.103,1130,0.008,0,0,0,0
3.159,18,0.009,0,0,0,0
8.181,155,0.013,4.042,0,0.659,0
1.487,8,0.125,4.632,18.835,0.388,0
1.812,10,0.015,4.136,0,0.503,0
6.623,48,0.036,4.14,0,0.717,0
9.203,188,0.003,2.847,115.644,0.588,0
7.869,125,0.006,5.779,0,0.656,0
6.155,56,0.004,0,0,0,0
7.728,305,0.004,0,0,0,0
3.603,10,0.007,0,0,0,0
3.606,7,0.006,4.323,0,0.556,0
6.393,185,0.006,0,0,0,0
4.749,42,0.012,4.863,40.851,0.622,0
5.089,7,0.009,0,0,0,0
15.32,4,0.01,0,0,0,0
6.106,4,0.027,0,0,0,0
10.733,562,0.003,5.971,0,0.717,0
8.19,439,0.005,11.113,0,0.516,0
5.617,4,0.011,0,0,0,0
4.672,55,0.036,0,0,0,0
7.041,215,0.01,5.723,0,0.699,0
6.126,41,0.004,4.296,0,0.613,0
10.485,595,0.016,6.071,0,0.719,0
7.991,203,0.017,4.103,0,0.64,0
5.528,80,0.106,4.732,0,0.503,0
14.41,1248,0.017,3.944,0,0.467,0
7.351,253,0.019,6.158,12.865,0.653,0
11.874,1214,0.004,4.818,0,0.388,0
6.714,285,0.019,0,0,0,0
3.775,21,0.008,3.877,70.547,0.699,0
9.959,682,0.01,4.215,0,0.539,0
5.635,52,0.052,2.493,0,0.692,0
2.561,19,0.03,1.96,25,0.637,0
6.183,373,0.014,0,0,0,0
3.002,32,0.059,2.602,11.452,0.729,0
3.616,14,0.018,0,0,0,0
5.087,38,0.009,3.518,0,0.635,0
11.286,349,0.008,4.32,27.611,0.574,0
9.014,4,0.004,0,0,0,0
11.955,499,0.011,5.657,0,0.663,0
10.732,5,0.009,0,0,0,0
3.723,21,0.005,0,0,0,0
4.263,92,0.003,4.107,0,0.795,0
5.251,26,0.009,3.761,0,0.734,0
3.542,22,0.021,4.975,0,0.667,0
3.443,61,0.036,3.812,20.366,0.669,0
1.246,6,0.006,0,0,0,0
3.515,76,0.191,4.255,0,0.346,0
3.521,16,0.011,3.712,0,0.663,0
3.027,16,0.015,2.892,33.022,0.859,0
6.923,4,0.009,5.109,0,0.583,0
11.583,726,0.012,5.562,28.13,0.614,0
7.463,325,0.01,3.174,0,0.446,0
12.17,334,0.011,4.559,17.615,0.56,0
7.395,221,0.014,2.931,0,0.536,0
3.213,19,0.014,0,0,0,0
9.578,4,0.005,0,0,0,0
2.464,4,0.03,0,0,0,0
4.4,14,0.02,0,0,0,0
3.936,144,0.031,0,0,0,0
10.424,1242,0.021,3.946,0,0.435,0
16.208,4,0.003,0,0,0,0
7.91,82,0.005,5.816,43.233,0.785,0
4.526,35,0.007,3.756,86.194,0.742,0
7.66,199,0.008,3.314,0,0.469,0
5.922,40,0.018,3.882,0,0.606,0
9.661,637,0.021,4.751,0,0.665,0
5.823,74,0.012,3.179,41.719,0.726,0
5.501,99,0.026,1.043,0,0.706,0
3.115,21,0.152,0,0,0,0
5.936,17,0.013,0,0,0,0
8.789,281,0.041,0,0,0,0
3.39,16,0.026,0,0,0,0
3.208,29,0.03,4.104,22.299,0.729,0
5.16,48,0.044,3.945,0,0.735,0
5.759,31,0.006,0,0,0,0
5.855,97,0.031,0,0,0,0
13.015,578,0.011,2.863,33.863,0.442,0
6.702,189,0.003,5.457,0,0.635,0
2.031,77,0.009,2.021,0,0.503,0
10.729,342,0.007,5.085,0,0.721,0
7.636,349,0.018,6.547,0,0.614,0
4.789,11,0.004,0,0,0,0
3.252,19,0.02,5.609,28.291,0.597,0
11.476,1244,0.016,4.061,0,0.368,0
5.14,110,0.022,6.004,0,0.536,0
9.756,375,0.007,0,0,0,0
12.225,528,0.014,0,0,0,0
31.601,4,0.004,0,0,0,0
7.405,182,0.013,4.472,0,0.547,0
4.005,41,0.012,3.57,0,0.647,0
4.491,24,0.038,3.681,0,0.57,0
10.415,716,0.009,5.061,0,0.461,0
3.964,69,0.13,0,0,0,0
5.79,53,0.021,0,0,0,0
3.048,15,0.014,0,0,0,0
5.35,102,0.024,4.592,21.826,0.617,0
7.487,361,0.005,0,0,0,0
7.146,53,0.009,4.439,24.943,0.684,0
4.909,60,0.01,5.396,46.178,0.726,0
3.413,15,0.036,0,0,0,0
3.35,61,0.007,4.882,0,0.556,0
4.586,17,0.01,0,0,0,0
2.695,5,0.05,4.124,0,0.489,0
5.086,96,0.029,0,0,0,0
3.96,17,0.006,3.02,0,0.751,0
5.076,12,0.004,5.312,135.337,0.913,0
4.675,25,0.014,3.242,23.276,0.702,0
14.304,4,0.001,0,0,0,0
14.107,463,0.01,6.006,0,0.547,0
8.376,784,0.032,0,0,0,0
5.328,73,0.027,3.314,20.917,0.707,0
3.916,6,0.022,0,0,0,0
14.078,705,0.011,0,0,0,0
4.543,20,0.019,0,0,0,0
6.094,102,0.064,2.846,9.809,0.532,0
3.914,8,0.014,3.223,0,0.669,0
5.083,96,0.019,2.147,38.367,0.619,0
5.388,94,0.019,4.677,28.45,0.661,0
4.481,20,0.024,2.942,0,0.678,0
9.247,292,0.009,0,0,0,0
23.612,4,0.001,0,0,0,0
10.419,710,0.008,5.851,0,0.477,0
2.458,14,0.013,3.821,0,0.555,0
3.294,24,0.022,4.084,38.8,0.598,0
3.544,77,0.031,3.051,24.544,0.64,0
6.413,99,0.018,3.949,28.387,0.721,0
8.818,137,0.003,0,0,0,0
7.676,198,0.019,0,0,0,0
4.754,4,0.027,0,0,0,0
4.419,72,0.034,3.06,21.17,0.585,0
2.392,5,0.01,0,0,0,0
5.691,34,0.006,0,0,0,0
13.199,5,0.001,0,0,0,0
4.993,32,0.015,4.003,0,0.661,0
3.489,29,0.041,0,0,0,0
3.24,15,0.016,4.315,0,0.607,0
5.03,40,0.025,3.401,21.865,0.752,0
3.942,22,0.03,4.982,35.22,0.555,0
4.681,16,0.013,2.652,50.012,0.661,0
7.749,78,0.011,6.008,0,0.639,0
6.713,96,0.014,2.463,0,0.612,0
1.867,18,0.038,3.244,111.724,0.619,0
2.129,4,0.01,0,0,0,0
8.71,230,0.005,3.945,0,0.616,0
7.132,329,0.013,3.918,0,0.616,0
6.701,97,0.016,0,0,0,0
7.213,139,0.009,5.268,49.534,0.768,0
3.589,16,0.018,0,0,0,0
7.271,240,0.027,1.213,0,0.69,0
5.823,212,0.019,3.196,0,0.516,0
2.646,18,0.032,2.223,30.273,0.591,0
4.21,19,0.013,5.741,0,0.634,0
4.49,16,0.021,5.065,0,0.806,0
3.989,33,0.008,3.904,66.002,0.7,0
8.66,437,0.022,6.448,0,0.652,0
15.603,397,0.011,6.32,0,0.577,0
190.65,911,0,0,0,0,0
10.708,1175,0.003,4.86,0,0.64,0
8.681,381,0.02,4.579,12.799,0.757,0
4.779,27,0.014,0,0,0,0
3.68,72,0.072,3.932,0,0.482,0
7.134,4,0.007,0,0,0,0
3.928,19,0.008,0,0,0,0
6.419,265,0.057,3.57,12.542,0.424,0
6.631,4,0.004,0,0,0,0
2.556,5,0.022,3.36,0,0.525,0
24.063,7,0.001,0,0,0,0
1.334,14,0.107,3.827,16.742,0.616,0
5.594,169,0.036,3.856,20.283,0.475,0
5.003,52,0.006,4.243,0,0.842,0
3.664,9,0.008,0,0,0,0
5.096,35,0.013,0,0,0,0
8.452,559,0.02,0,0,0,0
3.051,7,0.019,3.4,0,0.602,0
4.788,15,0.03,3.483,13.635,0.57,0
7.362,185,0.004,4.152,0,0.654,0
6.334,117,0.023,0,0,0,0
1.765,11,0.032,3.242,23.276,0.673,0
3.303,38,0.013,3.469,35.166,0.749,0
11.596,206,0.021,0,0,0,0
3.724,34,0.025,0,0,0,0
2.437,21,0,4.184,0,0.496,0
4.46,28,0.012,0,0,0,0
5.546,43,0.004,2.905,0,0.422,0
6.947,104,0.014,4.771,0,0.597,0
2.509,4,0.011,0,0,0,0
17.337,814,0.013,8.05,0,0.547,0
2.236,13,0.045,4.151,0,0.559,0
2.229,13,0.038,3.559,0,0.632,0
9.828,354,0.014,4.421,35.596,0.579,0
3.542,23,0.028,5.958,28.424,0.563,0
8.93,446,0.004,0,0,0,0
8.982,376,0.02,0,0,0,0
1.853,6,0.051,1.532,0,0.548,0
17.849,8,0.011,0,0,0,0
6.25,67,0.005,4.115,0,0.56,0
16.523,1133,0.006,0,0,0,0
3.563,91,0.03,3.161,52.951,0.517,0
7.158,124,0.047,4.664,0,0.585,0
